epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1393.34,0.79157,0.70695,0.86524,0.89935,0.96477,0.98177,0.72435,0.95312,0.72843,0.86347,0.00067825,0.00067825,0.00067825
67,1413.85,0.75722,0.61206,0.84493,0.89656,0.94118,0.97597,0.71378,0.97657,0.77125,0.86764,0.0006733,0.0006733,0.0006733
68,1434.24,0.76615,0.57915,0.84794,0.93676,0.9793,0.98555,0.73881,0.95433,0.64463,0.86358,0.00066835,0.00066835,0.00066835
69,1454.76,0.78829,0.62121,0.84495,0.93285,0.97571,0.98106,0.74679,0.92758,0.62652,0.85699,0.0006634,0.0006634,0.0006634
70,1475.24,0.78725,0.5887,0.84038,0.90878,0.99253,0.97575,0.75159,0.88383,0.63215,0.84956,0.00065845,0.00065845,0.00065845
71,1495.64,0.75099,0.63699,0.84603,0.92001,0.99186,0.98173,0.75543,0.87715,0.61335,0.84763,0.0006535,0.0006535,0.0006535
72,1515.97,0.78789,0.59015,0.8508,0.91181,0.98998,0.97993,0.75527,0.87612,0.58788,0.85304,0.00064855,0.00064855,0.00064855
73,1536.44,0.76255,0.6094,0.82406,0.89739,0.99769,0.97566,0.72817,0.91357,0.602,0.8516,0.0006436,0.0006436,0.0006436
74,1556.74,0.74789,0.58523,0.84267,0.90844,0.98711,0.97322,0.73637,0.90479,0.62282,0.8513,0.00063865,0.00063865,0.00063865
75,1577.3,0.73294,0.57091,0.84184,0.95454,0.97346,0.98469,0.75563,0.88201,0.58006,0.84868,0.0006337,0.0006337,0.0006337
76,1597.84,0.71003,0.56279,0.82602,0.95763,0.96755,0.985,0.75542,0.87629,0.59395,0.84685,0.00062875,0.00062875,0.00062875
77,1618.2,0.72346,0.64683,0.85107,0.93529,0.97363,0.98438,0.73089,0.96185,0.61331,0.863,0.0006238,0.0006238,0.0006238
78,1638.62,0.72089,0.60155,0.8549,0.93351,0.9523,0.9785,0.74559,0.91326,0.65971,0.84762,0.00061885,0.00061885,0.00061885
79,1658.95,0.78636,0.59069,0.83049,0.91974,0.97371,0.98537,0.72975,0.969,0.64747,0.85681,0.0006139,0.0006139,0.0006139
80,1679.37,0.81119,0.57515,0.85547,0.92085,0.97828,0.97072,0.71271,0.96645,0.6217,0.86146,0.00060895,0.00060895,0.00060895
81,1699.85,0.78257,0.56107,0.84831,0.91466,0.99017,0.97127,0.72726,0.94173,0.61148,0.85594,0.000604,0.000604,0.000604
82,1720.28,0.71245,0.52918,0.83409,0.93755,0.97752,0.97225,0.72801,0.93899,0.57706,0.85216,0.00059905,0.00059905,0.00059905
83,1741.39,0.674,0.67953,0.77694,0.90388,0.99832,0.96446,0.71598,0.94693,0.57731,0.85389,0.0005941,0.0005941,0.0005941
84,1761.92,0.73553,0.55424,0.84246,0.89818,0.99956,0.96273,0.71445,0.95019,0.6149,0.85592,0.00058915,0.00058915,0.00058915
85,1782.24,0.73317,0.55574,0.82614,0.91186,0.97959,0.96421,0.71989,0.92868,0.60125,0.85365,0.0005842,0.0005842,0.0005842
86,1802.7,0.6494,0.5726,0.77796,0.92126,0.96675,0.97856,0.71294,0.98931,0.61512,0.86446,0.00057925,0.00057925,0.00057925
87,1823.28,0.70409,0.53557,0.82988,0.91658,0.98435,0.97107,0.72744,0.92597,0.58477,0.85664,0.0005743,0.0005743,0.0005743
88,1843.63,0.68885,0.5834,0.82948,0.93625,0.97082,0.9801,0.74153,0.90829,0.575,0.8494,0.00056935,0.00056935,0.00056935
89,1864.14,0.67836,0.54019,0.83372,0.91175,0.98108,0.98199,0.75254,0.93153,0.60145,0.85203,0.0005644,0.0005644,0.0005644
90,1884.68,0.66707,0.52703,0.82644,0.92035,0.97012,0.98581,0.75179,0.91375,0.58926,0.85013,0.00055945,0.00055945,0.00055945
91,1905.05,0.67689,0.53064,0.82011,0.91242,0.99418,0.97902,0.73984,0.9348,0.58167,0.85187,0.0005545,0.0005545,0.0005545
92,1925.41,0.71094,0.51972,0.829,0.91298,0.98632,0.98179,0.73503,0.96375,0.57852,0.86553,0.00054955,0.00054955,0.00054955
93,1945.81,0.71601,0.52999,0.8449,0.91246,0.98014,0.97675,0.74321,0.9247,0.56939,0.85092,0.0005446,0.0005446,0.0005446
94,1966.36,0.72707,0.53719,0.83626,0.91527,0.9786,0.98243,0.7192,0.97358,0.58084,0.86359,0.00053965,0.00053965,0.00053965
95,1986.82,0.68823,0.51971,0.80932,0.92316,0.97979,0.97332,0.72927,0.92173,0.57465,0.8494,0.0005347,0.0005347,0.0005347
96,2007.39,0.68306,0.49329,0.83958,0.93588,0.98036,0.97839,0.73005,0.91105,0.57722,0.84587,0.00052975,0.00052975,0.00052975
97,2027.76,0.65697,0.48708,0.8302,0.93899,0.97274,0.97839,0.73067,0.94331,0.57096,0.84945,0.0005248,0.0005248,0.0005248
98,2048.39,0.64888,0.49667,0.82715,0.93763,0.97207,0.98307,0.73314,0.96736,0.55894,0.85731,0.00051985,0.00051985,0.00051985
99,2068.71,0.59775,0.47917,0.77677,0.9265,0.97089,0.98266,0.73494,0.91909,0.57797,0.85007,0.0005149,0.0005149,0.0005149
100,2089.03,0.61878,0.52896,0.77854,0.92547,0.97581,0.98138,0.7413,0.92072,0.57584,0.85037,0.00050995,0.00050995,0.00050995
101,2109.33,0.64499,0.48764,0.83867,0.93058,0.96929,0.97618,0.73692,0.90723,0.59804,0.85042,0.000505,0.000505,0.000505
102,2129.58,0.64863,0.47895,0.83749,0.92778,0.97252,0.97385,0.71667,0.93201,0.5883,0.85454,0.00050005,0.00050005,0.00050005
103,2149.94,0.68055,0.50415,0.83094,0.91762,0.97465,0.97042,0.7226,0.94784,0.58423,0.85947,0.0004951,0.0004951,0.0004951
104,2170.36,0.66004,0.52284,0.83452,0.89811,0.97269,0.955,0.70838,0.95467,0.6125,0.85712,0.00049015,0.00049015,0.00049015
105,2190.62,0.6558,0.49378,0.82172,0.90583,0.98431,0.95078,0.70974,0.93186,0.567,0.85327,0.0004852,0.0004852,0.0004852
106,2210.99,0.64229,0.47946,0.82359,0.90952,0.99006,0.95686,0.72967,0.88991,0.55628,0.83895,0.00048025,0.00048025,0.00048025
107,2231.54,0.61968,0.48523,0.83933,0.91492,0.98839,0.96923,0.72756,0.91571,0.56159,0.84042,0.0004753,0.0004753,0.0004753
108,2251.97,0.6514,0.49249,0.83166,0.91655,0.99217,0.9515,0.71578,0.93536,0.58077,0.85248,0.00047035,0.00047035,0.00047035
109,2272.58,0.70249,0.5296,0.83806,0.91652,0.98229,0.9519,0.72401,0.90183,0.54617,0.84508,0.0004654,0.0004654,0.0004654
110,2293.09,0.67743,0.48715,0.83027,0.93047,0.95428,0.96626,0.73404,0.89013,0.54571,0.84775,0.00046045,0.00046045,0.00046045
111,2313.46,0.66519,0.49126,0.82447,0.92501,0.97539,0.96121,0.72615,0.90949,0.54745,0.84735,0.0004555,0.0004555,0.0004555
112,2334.01,0.61466,0.46932,0.82824,0.92947,0.98411,0.95694,0.7317,0.90664,0.56766,0.84666,0.00045055,0.00045055,0.00045055
113,2354.52,0.70322,0.49182,0.88572,0.92719,0.97381,0.95633,0.7185,0.94709,0.56336,0.85507,0.0004456,0.0004456,0.0004456
114,2375,0.60734,0.48883,0.81779,0.93425,0.96917,0.96826,0.72229,0.95775,0.54025,0.86018,0.00044065,0.00044065,0.00044065
115,2395.65,0.62734,0.49882,0.83337,0.94206,0.97596,0.96428,0.71072,0.95399,0.55032,0.86136,0.0004357,0.0004357,0.0004357
116,2416.21,0.63089,0.46557,0.81216,0.92896,0.97425,0.96721,0.714,0.94822,0.55109,0.86196,0.00043075,0.00043075,0.00043075
117,2436.7,0.63899,0.47834,0.82537,0.91466,0.99124,0.9741,0.72895,0.92487,0.57003,0.85354,0.0004258,0.0004258,0.0004258
118,2457.2,0.64758,0.44485,0.8177,0.91258,0.99455,0.98324,0.75256,0.91019,0.5402,0.84831,0.00042085,0.00042085,0.00042085
119,2477.72,0.61973,0.46994,0.81923,0.92132,0.9699,0.98076,0.72349,0.97819,0.55179,0.85863,0.0004159,0.0004159,0.0004159
120,2498.12,0.63841,0.48354,0.81866,0.9337,0.96658,0.97623,0.73428,0.94837,0.5589,0.85587,0.00041095,0.00041095,0.00041095
121,2518.43,0.59912,0.45767,0.81987,0.92111,0.98122,0.97234,0.73765,0.91736,0.54209,0.85371,0.000406,0.000406,0.000406
122,2538.88,0.56547,0.43704,0.82449,0.94748,0.96028,0.98187,0.74979,0.91077,0.55284,0.84843,0.00040105,0.00040105,0.00040105
123,2559.31,0.58825,0.43576,0.81041,0.92341,0.98301,0.98126,0.7454,0.89982,0.54905,0.84519,0.0003961,0.0003961,0.0003961
124,2579.79,0.59248,0.44149,0.82356,0.94213,0.99206,0.97785,0.75006,0.90547,0.52629,0.84729,0.00039115,0.00039115,0.00039115
125,2600.43,0.61407,0.44191,0.82173,0.95244,0.97239,0.97795,0.74089,0.92393,0.51296,0.84879,0.0003862,0.0003862,0.0003862
126,2620.91,0.58435,0.44178,0.80984,0.9477,0.98469,0.98405,0.73298,0.94998,0.51192,0.85576,0.00038125,0.00038125,0.00038125
127,2641.54,0.58953,0.42853,0.81626,0.94927,0.97341,0.98684,0.75698,0.90804,0.50845,0.84715,0.0003763,0.0003763,0.0003763
128,2661.96,0.5534,0.44153,0.81085,0.91557,0.99083,0.98103,0.74745,0.93494,0.55101,0.85304,0.00037135,0.00037135,0.00037135
129,2682.2,0.59047,0.43431,0.8147,0.90575,0.99206,0.97788,0.73689,0.95734,0.5526,0.85986,0.0003664,0.0003664,0.0003664
130,2702.61,0.62548,0.43934,0.8226,0.90863,0.99206,0.97973,0.73429,0.96901,0.56634,0.86043,0.00036145,0.00036145,0.00036145
131,2723.12,0.6182,0.46165,0.82229,0.91694,0.98239,0.96714,0.72245,0.92772,0.56583,0.85442,0.0003565,0.0003565,0.0003565
132,2743.45,0.58854,0.43832,0.8119,0.92163,0.9788,0.96357,0.72536,0.93637,0.55865,0.86079,0.00035155,0.00035155,0.00035155
133,2763.79,0.56545,0.42499,0.82049,0.91261,0.98624,0.97584,0.7395,0.89969,0.53467,0.85084,0.0003466,0.0003466,0.0003466
134,2784.23,0.58419,0.43627,0.81215,0.90011,0.99579,0.97605,0.72471,0.92986,0.52798,0.85709,0.00034165,0.00034165,0.00034165
135,2804.61,0.56884,0.42678,0.81409,0.92378,0.97299,0.97556,0.74366,0.89528,0.52334,0.84948,0.0003367,0.0003367,0.0003367
136,2825.14,0.52922,0.4063,0.80002,0.90862,0.98511,0.9741,0.74167,0.90174,0.52325,0.84935,0.00033175,0.00033175,0.00033175
137,2845.66,0.54747,0.62183,0.82884,0.92577,0.97676,0.97327,0.74445,0.89723,0.51769,0.84667,0.0003268,0.0003268,0.0003268
138,2866.26,0.5918,0.45507,0.85431,0.92857,0.98203,0.97986,0.74513,0.9283,0.50716,0.85276,0.00032185,0.00032185,0.00032185
139,2886.86,0.56676,0.42734,0.82107,0.92626,0.98775,0.97931,0.75375,0.8978,0.50659,0.84971,0.0003169,0.0003169,0.0003169
140,2907.34,0.55357,0.42016,0.81641,0.92345,0.9804,0.98055,0.74526,0.91593,0.51972,0.84992,0.00031195,0.00031195,0.00031195
141,2927.71,0.57,0.42421,0.82647,0.92067,0.98057,0.97979,0.73843,0.90728,0.51846,0.84855,0.000307,0.000307,0.000307
142,2948.25,0.55176,0.4037,0.81307,0.92553,0.97653,0.97188,0.73265,0.91935,0.5212,0.85151,0.00030205,0.00030205,0.00030205
143,2968.64,0.53915,0.41249,0.81438,0.92472,0.98491,0.97047,0.73944,0.90309,0.52478,0.84651,0.0002971,0.0002971,0.0002971
144,2989.12,0.5283,0.40619,0.80592,0.9229,0.98193,0.97092,0.74946,0.89356,0.53787,0.84474,0.00029215,0.00029215,0.00029215
145,3009.54,0.54456,0.41365,0.80123,0.92369,0.98072,0.97288,0.75552,0.87307,0.53465,0.84126,0.0002872,0.0002872,0.0002872
146,3030.09,0.51185,0.41937,0.79398,0.92363,0.9648,0.97381,0.75138,0.90988,0.55688,0.85046,0.00028225,0.00028225,0.00028225
147,3050.46,0.55058,0.42848,0.81613,0.92923,0.96164,0.97249,0.74665,0.90892,0.54828,0.84876,0.0002773,0.0002773,0.0002773
148,3070.9,0.52786,0.40313,0.7951,0.93107,0.9709,0.97243,0.75201,0.90563,0.55596,0.84919,0.00027235,0.00027235,0.00027235
149,3091.22,0.49959,0.41805,0.75535,0.93321,0.9702,0.9689,0.74111,0.93072,0.54927,0.85377,0.0002674,0.0002674,0.0002674
150,3111.57,0.54063,0.40195,0.81776,0.93226,0.97862,0.97863,0.74529,0.90892,0.50234,0.84957,0.00026245,0.00026245,0.00026245
151,3131.96,0.54337,0.4148,0.81468,0.93397,0.98192,0.98081,0.75085,0.90885,0.49358,0.84974,0.0002575,0.0002575,0.0002575
152,3152.2,0.53051,0.38721,0.8018,0.94404,0.97976,0.97504,0.74677,0.92802,0.48615,0.85228,0.00025255,0.00025255,0.00025255
153,3172.81,0.55963,0.39273,0.81217,0.94524,0.97655,0.97689,0.75481,0.92918,0.49457,0.85212,0.0002476,0.0002476,0.0002476
154,3193.47,0.49978,0.38837,0.79412,0.93295,0.9793,0.97796,0.74651,0.93416,0.505,0.85152,0.00024265,0.00024265,0.00024265
155,3213.83,0.54458,0.4069,0.80716,0.9401,0.9613,0.97187,0.74094,0.90951,0.51815,0.84811,0.0002377,0.0002377,0.0002377
156,3234.11,0.50588,0.37959,0.80451,0.9484,0.96436,0.97098,0.73309,0.92562,0.52961,0.85176,0.00023275,0.00023275,0.00023275
157,3254.47,0.55763,0.39573,0.82125,0.94515,0.97047,0.97098,0.73539,0.90584,0.52304,0.84905,0.0002278,0.0002278,0.0002278
158,3274.75,0.52831,0.57849,0.8161,0.95243,0.96685,0.96423,0.72961,0.92707,0.53513,0.85223,0.00022285,0.00022285,0.00022285
159,3295.32,0.50352,0.41421,0.80434,0.92995,0.97418,0.96422,0.73546,0.91381,0.52844,0.85078,0.0002179,0.0002179,0.0002179
160,3315.71,0.51267,0.39261,0.80919,0.92882,0.97414,0.96392,0.72937,0.92545,0.53582,0.85358,0.00021295,0.00021295,0.00021295
161,3335.95,0.49922,0.38299,0.79346,0.93351,0.97102,0.96235,0.73363,0.92434,0.53588,0.85354,0.000208,0.000208,0.000208
162,3356.39,0.49398,0.41222,0.81127,0.93004,0.97103,0.96791,0.74091,0.9003,0.54727,0.84763,0.00020305,0.00020305,0.00020305
163,3376.83,0.50898,0.38809,0.81568,0.93023,0.97115,0.96828,0.75326,0.88212,0.53631,0.84396,0.0001981,0.0001981,0.0001981
164,3397.14,0.53039,0.40592,0.80387,0.92547,0.97314,0.9667,0.73434,0.90746,0.52913,0.84879,0.00019315,0.00019315,0.00019315
165,3417.51,0.49999,0.38054,0.80969,0.92452,0.9751,0.96659,0.74526,0.90228,0.53002,0.84637,0.0001882,0.0001882,0.0001882
166,3437.97,0.45524,0.54987,0.75017,0.93335,0.9765,0.97127,0.7501,0.90917,0.53338,0.84858,0.00018325,0.00018325,0.00018325
167,3458.37,0.51062,0.38738,0.79549,0.93075,0.97425,0.95995,0.73578,0.92611,0.55473,0.85331,0.0001783,0.0001783,0.0001783
