epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1413.14,0.78399,0.63686,0.84661,0.92408,0.93854,0.98407,0.7901,0.81044,0.66474,0.83571,0.0006733,0.0006733,0.0006733
68,1434.35,0.73413,0.61366,0.8433,0.95673,0.93286,0.98705,0.78895,0.81687,0.62805,0.83667,0.00066835,0.00066835,0.00066835
69,1455.57,0.7594,0.6151,0.83644,0.93913,0.91846,0.98356,0.77205,0.86355,0.64727,0.84015,0.0006634,0.0006634,0.0006634
70,1476.84,0.7686,0.60384,0.8325,0.9585,0.938,0.98593,0.77778,0.81199,0.6362,0.8394,0.00065845,0.00065845,0.00065845
71,1498.18,0.75375,0.60291,0.84213,0.94553,0.98897,0.98891,0.76265,0.85027,0.60075,0.84859,0.0006535,0.0006535,0.0006535
72,1519.36,0.73058,0.6189,0.8393,0.95679,0.9408,0.97752,0.75632,0.85367,0.66732,0.85081,0.00064855,0.00064855,0.00064855
73,1540.63,0.72774,0.58645,0.83397,0.92898,0.9478,0.97597,0.74171,0.88085,0.72829,0.85385,0.0006436,0.0006436,0.0006436
74,1561.88,0.73803,0.60454,0.83145,0.91629,0.9641,0.97857,0.74846,0.84441,0.66914,0.84944,0.00063865,0.00063865,0.00063865
75,1583.07,0.72868,0.57608,0.83856,0.8815,0.9076,0.95486,0.75455,0.79974,0.76145,0.83701,0.0006337,0.0006337,0.0006337
76,1604.81,0.77486,0.59933,0.85418,0.92538,0.95111,0.97782,0.77786,0.78129,0.63229,0.83919,0.00062875,0.00062875,0.00062875
77,1626.04,0.73637,0.60395,0.84834,0.94381,0.94613,0.97857,0.76809,0.83205,0.61482,0.83472,0.0006238,0.0006238,0.0006238
78,1647.2,0.74408,0.58523,0.83226,0.93986,0.91568,0.96591,0.77149,0.77953,0.64236,0.83162,0.00061885,0.00061885,0.00061885
79,1668.45,0.74947,0.60865,0.83616,0.90174,0.92056,0.96329,0.74539,0.81378,0.65766,0.83572,0.0006139,0.0006139,0.0006139
80,1689.61,0.69628,0.56224,0.81634,0.94597,0.95156,0.97411,0.75855,0.81926,0.62306,0.83245,0.00060895,0.00060895,0.00060895
81,1711.33,0.72332,0.53362,0.83291,0.94314,0.94887,0.96908,0.76628,0.78081,0.61826,0.83884,0.000604,0.000604,0.000604
82,1732.65,0.74376,0.53611,0.84143,0.94912,0.9275,0.97001,0.74864,0.84928,0.64481,0.83698,0.00059905,0.00059905,0.00059905
83,1753.87,0.71012,0.54385,0.84278,0.90207,0.93919,0.95699,0.73392,0.82764,0.70959,0.83668,0.0005941,0.0005941,0.0005941
84,1775.35,0.70386,0.52783,0.84241,0.88682,0.93075,0.97042,0.76238,0.83653,0.70945,0.83739,0.00058915,0.00058915,0.00058915
85,1796.87,0.72556,0.53917,0.83758,0.93686,0.89948,0.97929,0.78138,0.82363,0.65838,0.83379,0.0005842,0.0005842,0.0005842
86,1818.24,0.70045,0.53329,0.82884,0.88821,0.92519,0.97442,0.76178,0.82454,0.67923,0.83549,0.00057925,0.00057925,0.00057925
87,1839.4,0.67864,0.51249,0.82444,0.8883,0.92797,0.96682,0.7569,0.81706,0.7012,0.84315,0.0005743,0.0005743,0.0005743
88,1860.78,0.68299,0.51514,0.83039,0.84968,0.96196,0.96741,0.75478,0.81342,0.69541,0.84076,0.00056935,0.00056935,0.00056935
89,1882.02,0.68832,0.53398,0.83586,0.88512,0.91215,0.95836,0.72626,0.84816,0.73964,0.85021,0.0005644,0.0005644,0.0005644
90,1903.2,0.69104,0.53358,0.8331,0.89018,0.96577,0.96939,0.75312,0.83477,0.63814,0.84769,0.00055945,0.00055945,0.00055945
91,1924.5,0.66361,0.52294,0.82198,0.96577,0.94557,0.97283,0.7554,0.83052,0.59957,0.84451,0.0005545,0.0005545,0.0005545
92,1945.71,0.70607,0.5153,0.8447,0.96353,0.94173,0.97045,0.75075,0.84217,0.61624,0.84755,0.00054955,0.00054955,0.00054955
93,1967.12,0.69911,0.51497,0.83381,0.93008,0.92769,0.96602,0.76376,0.82987,0.62248,0.83867,0.0005446,0.0005446,0.0005446
94,1988.33,0.6984,0.51245,0.82597,0.94818,0.90577,0.96676,0.75768,0.80412,0.59851,0.83989,0.00053965,0.00053965,0.00053965
95,2009.53,0.66126,0.50189,0.82073,0.91572,0.96767,0.97425,0.75442,0.84654,0.57711,0.83797,0.0005347,0.0005347,0.0005347
96,2030.97,0.65387,0.49575,0.82909,0.92495,0.96877,0.97492,0.77681,0.7926,0.58378,0.8292,0.00052975,0.00052975,0.00052975
97,2052.1,0.66166,0.51074,0.82836,0.93151,0.95992,0.977,0.77007,0.80588,0.57964,0.83392,0.0005248,0.0005248,0.0005248
98,2073.46,0.63768,0.47567,0.82625,0.92586,0.97012,0.96632,0.77157,0.80833,0.59322,0.8332,0.00051985,0.00051985,0.00051985
99,2094.76,0.63962,0.49259,0.81782,0.93495,0.96662,0.97048,0.7776,0.8053,0.60438,0.84104,0.0005149,0.0005149,0.0005149
100,2115.92,0.64428,0.4897,0.82191,0.91648,0.9657,0.96627,0.76025,0.8287,0.58941,0.84279,0.00050995,0.00050995,0.00050995
101,2137.13,0.65775,0.49242,0.82959,0.96016,0.95594,0.96827,0.76019,0.81969,0.58961,0.8506,0.000505,0.000505,0.000505
102,2158.42,0.64982,0.48141,0.82487,0.94566,0.93254,0.95274,0.72797,0.84168,0.66945,0.8508,0.00050005,0.00050005,0.00050005
103,2179.59,0.63591,0.49767,0.81538,0.89724,0.92964,0.94784,0.72522,0.85277,0.66427,0.84876,0.0004951,0.0004951,0.0004951
104,2200.79,0.64419,0.49252,0.82515,0.92848,0.936,0.94969,0.75115,0.80366,0.60081,0.83786,0.00049015,0.00049015,0.00049015
105,2222.22,0.64335,0.48017,0.82167,0.95535,0.94753,0.96424,0.74698,0.81303,0.5593,0.84226,0.0004852,0.0004852,0.0004852
106,2243.45,0.60428,0.45693,0.81771,0.95128,0.95566,0.95802,0.73711,0.84708,0.58516,0.84821,0.00048025,0.00048025,0.00048025
107,2264.66,0.62427,0.46458,0.83002,0.95128,0.9463,0.96005,0.73246,0.84824,0.59383,0.8474,0.0004753,0.0004753,0.0004753
108,2286.01,0.61282,0.46992,0.82394,0.93613,0.94804,0.96315,0.73749,0.84337,0.58442,0.84677,0.00047035,0.00047035,0.00047035
109,2307.21,0.61489,0.45332,0.8103,0.93135,0.93077,0.96278,0.74176,0.85952,0.61161,0.84494,0.0004654,0.0004654,0.0004654
110,2328.47,0.66813,0.48796,0.82347,0.91818,0.96293,0.96074,0.75161,0.83164,0.60816,0.84406,0.00046045,0.00046045,0.00046045
111,2349.64,0.62536,0.46923,0.82814,0.92896,0.9666,0.96422,0.7457,0.87932,0.5833,0.84892,0.0004555,0.0004555,0.0004555
112,2370.9,0.6251,0.47136,0.82296,0.92559,0.96753,0.95863,0.74707,0.84837,0.56574,0.8484,0.00045055,0.00045055,0.00045055
113,2392.26,0.61958,0.45171,0.81384,0.92543,0.94993,0.9673,0.76104,0.84349,0.59978,0.84253,0.0004456,0.0004456,0.0004456
